No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
1,A,Agilent Technologies Inc.,Healthcare,Medical Laboratories & Research,USA,17282.22,19.02,50.98,3.37%,18145958
2,AA,"Alcoa, Inc.",Basic Materials,Aluminum,USA,9026.42,84.4,8.44,-1.29%,33075828
3,AAIT,iShares MSCI AC Asia Information Tech,Financial,Exchange Traded Fund,USA,,,29.4,-1.71%,1500
4,AAME,Atlantic American Corp.,Financial,Life Insurance,USA,85.28,10.55,4.01,-0.50%,5206
5,AAN,"Aaron's, Inc.",Services,Rental & Leasing Services,USA,2146.48,15.2,28.28,2.72%,787987
6,AAON,AAON Inc.,Industrial Goods,General Building Materials,USA,1431.96,33.29,25.97,1.25%,39993
7,AAP,Advance Auto Parts Inc.,Services,Auto Parts Stores,USA,5886.18,15.17,80.71,0.44%,733293
8,AAPL,Apple Inc.,Consumer Goods,Electronic Equipment,USA,433863.27,11.8,472.3,1.64%,14391568
9,AAT,"American Assets Trust, Inc.",Financial,REIT - Office,USA,1236.68,1567,31.34,0.03%,51124
10,AAU,Almaden Minerals Ltd.,Basic Materials,Gold,Canada,90.08,,1.5,-1.96%,128120
11,AAV,Advantage Oil & Gas Ltd.,Basic Materials,Oil & Gas Drilling & Exploration,Canada,636.49,,3.78,-1.05%,90653
12,AAVX,UBS E-TRACS Dly Sh 1Mo S&P500 VIX Fu ETN,Financial,Exchange Traded Fund,USA,,,,,0
13,AAWW,Atlas Air Worldwide Holdings Inc.,Services,"Air Services, Other",USA,1204.65,9.81,46.89,-0.17%,140094
14,AAXJ,iShares MSCI All Country Asia ex Jpn Idx,Financial,Exchange Traded Fund,USA,2029.69,,60.05,-1.86%,2027174
15,AB,AllianceBernstein Holding L.P.,Financial,Asset Management,USA,2214.49,27.1,21.95,2.00%,522516
16,ABAX,Abaxis Inc.,Healthcare,Diagnostic Substances,USA,912.5,33.1,41.05,1.11%,93343
17,ABB,ABB Ltd.,Industrial Goods,Industrial Equipment & Components,Switzerland,55196.91,19.7,24.03,0.42%,1365688
18,ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - Major,USA,75318.6,14.58,47.4,-1.09%,5242713
19,ABC,AmerisourceBergen Corporation,Services,Drugs Wholesale,USA,14375.25,24.6,62.23,1.20%,1150681
20,ABCB,Ameris Bancorp,Financial,Regional - Mid-Atlantic Banks,USA,453.94,29.25,19.01,-0.47%,32557
